C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS
A034,R170,'03-00-00,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T09:00:00Z,REGULAR,2217305,17386662
A034,R170,'03-00-00,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T13:00:00Z,REGULAR,2217321,17386783
A034,R170,'03-00-00,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T17:00:00Z,REGULAR,2217359,17386927
A034,R170,'03-00-00,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T21:00:00Z,REGULAR,2217382,17387018
A034,R170,'03-00-01,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T01:00:00Z,REGULAR,1105730,2542644
A034,R170,'03-00-01,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T05:00:00Z,REGULAR,1105732,2542655
A034,R170,'03-00-01,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T09:00:00Z,REGULAR,1105737,2542723
A034,R170,'03-00-01,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T13:00:00Z,REGULAR,1105770,2542794
A034,R170,'03-00-01,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T17:00:00Z,REGULAR,1105828,2542909
A034,R170,'03-00-01,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T21:00:00Z,REGULAR,1105856,2542950
A034,R170,'03-00-02,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T01:00:00Z,REGULAR,4804256,3393812
A034,R170,'03-00-02,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T05:00:00Z,REGULAR,4804256,3393820
A034,R170,'03-00-02,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T09:00:00Z,REGULAR,4804283,3393890
A034,R170,'03-00-02,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T13:00:00Z,REGULAR,4804339,3393957
