the_geom,lat,long,station_name,borough,train_lines,service,unit,c-a,ct_median_income_2018_ACS,ct_shape_leng,ct_shape_area
0101000020E6100000880D164ED27F52C040DD4081775C4440,40.722397,-73.997211,SPRING ST,Manhattan,6,IRT,R216,R322,"$24,014",5090.419937,1605585.079
0101000020E61000007958A835CD7F52C0B0E2546B615E4440,40.737348,-73.9969,6 AVE,Manhattan,FLM123,BMT,H003,R163,"$41,875",6601.177174,1775764.293
0101000020E61000007958A835CD7F52C0B0E2546B615E4440,40.737348,-73.9969,14 ST-6 AVE,Manhattan,FLM123,IND,N512,R163,"$41,875",6601.177174,1775764.293
0101000020E61000007958A835CD7F52C0B0E2546B615E4440,40.737348,-73.9969,14 ST-6 AVE,Manhattan,FLM123,IND,N510,R163,"$41,875",6601.177174,1775764.293
0101000020E61000007958A835CD7F52C0B0E2546B615E4440,40.737348,-73.9969,14 ST-6 AVE,Manhattan,FLM123,IND,N511,R163,"$41,875",6601.177174,1775764.293
0101000020E61000007958A835CD7F52C0B0E2546B615E4440,40.737348,-73.9969,14 ST-6 AVE,Manhattan,FLM123,IND,N513,R163,"$41,875",6601.177174,1775764.293
0101000020E61000002D095053CB7F52C0AF7AC03C645E4440,40.737434,-73.996785,14TH STREET,Manhattan,1,PTH,PTH11,R545,"$34,167",5588.637083,1809255.636
0101000020E61000006A8995D1C87F52C005A6D3BA0D504440,40.625419,-73.996632,NEW UTRECHT AVE,Brooklyn,ND,BMT,D005,R398,"$77,000",5938.202539,1867289.953
0101000020E61000006A8995D1C87F52C005A6D3BA0D504440,40.625419,-73.996632,NEW UTRECHT AVE,Brooklyn,ND,BMT,D006,R398,"$77,000",5938.202539,1867289.953
0101000020E61000003E096CCEC17F52C086713788D65C4440,40.725297,-73.996204,BROADWAY/LAFAY,Manhattan,BDFQ6,IND,N519,R461,"$145,694",4547.015875,1243017.215
0101000020E61000003E096CCEC17F52C086713788D65C4440,40.725297,-73.996204,BROADWAY/LAFAY,Manhattan,BDFQ6,IND,N519A,R461,"$145,694",4547.015875,1243017.215
0101000020E61000004AD1CABDC07F52C0BD6DA6423C564440,40.673714,-73.996139,SMITH-9 ST,Brooklyn,FG,IND,N536,R270,"$28,364",15289.95994,7727266.997
0101000020E6100000425BCEA5B87F52C0096D3997E25C4440,40.725665,-73.995645,BLEECKER ST,Manhattan,6DF,IRT,R217A,R194,"$145,694",4547.015875,1243017.215
0101000020E610000037C7B94DB87F52C07573F1B73D5F4440,40.744071,-73.995624,23 ST,Manhattan,1,IRT,R131,R190,"$121,183",5743.393499,1927040.052
0101000020E610000037C7B94DB87F52C07573F1B73D5F4440,40.744071,-73.995624,23 ST,Manhattan,1,IRT,R132,R190,"$121,183",5743.393499,1927040.052
0101000020E610000044C362D4B57F52C0A626C11BD2504440,40.631412,-73.995473,55 ST,Brooklyn,D,BMT,E005,R247,"$34,918",6240.45935,1827206.393
0101000020E6100000240B98C0AD7F52C0D95C35CF11574440,40.680231,-73.99498,CARROLL ST,Brooklyn,FG,IND,N535,R220,"$39,934",10144.2156,4187368.545
0101000020E6100000240B98C0AD7F52C0D95C35CF11574440,40.680231,-73.99498,CARROLL ST,Brooklyn,FG,IND,N534,R220,"$39,934",10144.2156,4187368.545
0101000020E6100000268DD13AAA7F52C09755D80C70514440,40.636232,-73.994765,50 ST,Brooklyn,D,BMT,E004,R234,"$32,222",6117.0823,2091173.161
0101000020E610000010CD3CB9A67F52C0D07F0F5EBB524440,40.646343,-73.994551,9 AVE,Brooklyn,D,BMT,E001,R368,$0,5365.03648,1699091.864
0101000020E610000007EFAB72A17F52C00876FC1708524440,40.640872,-73.994229,FT HAMILTON PKY,Brooklyn,D,BMT,E003,R369,"$29,264",5459.472146,1843970.961
0101000020E610000013B70A62A07F52C0B6662B2FF95B4440,40.718542,-73.994164,GRAND ST,Manhattan,BD,IND,N520,R240,$0,6391.922373,2399268.398
0101000020E61000000971E5EC9D7F52C0BCE82B48335C4440,40.720315,-73.994014,BOWERY,Manhattan,JZ,BMT,A064,R311,$0,6391.922373,2399268.398
0101000020E6100000FE4465C39A7F52C08FC360FE0A4D4440,40.601898,-73.993821,BAY PARKWAY,Brooklyn,D,BMT,E014,R374,"$56,250",7396.971075,2300496.595
0101000020E6100000F58079C8947F52C0CEC133A149604440,40.752247,-73.993456,34 ST-PENN STA,Manhattan,ACE,IND,N067,R012,"$100,813",5695.628851,1889012.252
0101000020E6100000F58079C8947F52C0CEC133A149604440,40.752247,-73.993456,34 ST-PENN STA,Manhattan,ACE,IND,N065,R012,"$100,813",5695.628851,1889012.252
0101000020E6100000F58079C8947F52C0CEC133A149604440,40.752247,-73.993456,34 ST-PENN STA,Manhattan,ACE,IND,N068,R012,"$100,813",5695.628851,1889012.252
0101000020E6100000F58079C8947F52C0CEC133A149604440,40.752247,-73.993456,34 ST-PENN STA,Manhattan,ACE,IND,N070,R012,"$100,813",5695.628851,1889012.252
0101000020E6100000F58079C8947F52C0CEC133A149604440,40.752247,-73.993456,34 ST-PENN STA,Manhattan,ACE,IND,N072,R012,"$100,813",5695.628851,1889012.252
0101000020E6100000F58079C8947F52C0CEC133A149604440,40.752247,-73.993456,34 ST-PENN STA,Manhattan,ACE,IND,N071,R013,"$100,813",5695.628851,1889012.252
0101000020E6100000F58079C8947F52C0CEC133A149604440,40.752247,-73.993456,34 ST-PENN STA,Manhattan,ACE,IND,N069,R013,"$100,813",5695.628851,1889012.252
0101000020E6100000F58079C8947F52C0CEC133A149604440,40.752247,-73.993456,34 ST-PENN STA,Manhattan,ACE,IND,N073,R013,"$100,813",5695.628851,1889012.252
0101000020E6100000E449D235937F52C0A6643909A55F4440,40.747224,-73.99336,28 ST,Manhattan,1,IRT,R133,R272,"$142,700",5658.970325,1851171.289
0101000020E6100000E449D235937F52C0A6643909A55F4440,40.747224,-73.99336,28 ST,Manhattan,1,IRT,R134,R272,"$142,700",5658.970325,1851171.289
0101000020E6100000E25CC30C8D7F52C0DEAE97A608604440,40.750264,-73.992984,34 ST-PENN STA,Manhattan,123ACE,IRT,R138,R293,"$67,614",5701.715857,1891377.812
0101000020E6100000E25CC30C8D7F52C0DEAE97A608604440,40.750264,-73.992984,34 ST-PENN STA,Manhattan,123ACE,IRT,R142,R293,"$67,614",5701.715857,1891377.812
0101000020E6100000DCB930D28B7F52C0410FB56D185F4440,40.742933,-73.992909,TWENTY THIRD ST,Manhattan,1,PTH,PTH12,R542,"$121,183",5743.393499,1927040.052
0101000020E6100000D0251C7A8B7F52C0AED51EF642594440,40.697356,-73.992888,CLARK ST,Brooklyn,23,IRT,R600,R224,"$107,425",4866.823298,1038510.38
0101000020E6100000D6FCF84B8B7F52C025CCB4FD2B554440,40.665405,-73.992877,PROSPECT AVE,Brooklyn,R,BMT,C015,R454,"$15,455",6686.580823,2350772.884
0101000020E6100000CB68E4F38A7F52C001C287122D554440,40.665438,-73.992856,PROSPECT AVE,Brooklyn,R,BMT,C014,R246,"$15,455",6686.580823,2350772.884
0101000020E6100000CB9C2E8B897F52C05A9F724C165F4440,40.742868,-73.99277,23 ST-6 AVE,Manhattan,FM,IND,N509,R203,"$49,329",5720.573927,1879679.029
0101000020E6100000CCB6D3D6887F52C052465C001A5F4440,40.742981,-73.992727,23 ST-6 AVE,Manhattan,FM,IND,N508,R453,"$49,329",5720.573927,1879679.029
0101000020E6100000D8648D7A887F52C07959130B7C5D4440,40.730348,-73.992705,8 ST-B'WAY NYU,Manhattan,NR,BMT,A038,R085,"$177,674",4761.914084,1159594.724
0101000020E6100000D8648D7A887F52C07959130B7C5D4440,40.730348,-73.992705,8 ST-B'WAY NYU,Manhattan,NR,BMT,A039,R085,"$177,674",4761.914084,1159594.724
0101000020E610000092CCEA1D6E7F52C0C51EDAC70A604440,40.750329,-73.991096,34 ST-PENN STA,Manhattan,123,IRT,R141,R031,"$67,614",5701.715857,1891377.812
0101000020E610000092CCEA1D6E7F52C0C51EDAC70A604440,40.750329,-73.991096,34 ST-PENN STA,Manhattan,123,IRT,R135,R031,"$67,614",5701.715857,1891377.812
0101000020E610000092CCEA1D6E7F52C0C51EDAC70A604440,40.750329,-73.991096,34 ST-PENN STA,Manhattan,123,IRT,R137,R031,"$67,614",5701.715857,1891377.812
0101000020E610000092CCEA1D6E7F52C0C51EDAC70A604440,40.750329,-73.991096,34 ST-PENN STA,Manhattan,123,IRT,R139,R031,"$67,614",5701.715857,1891377.812
0101000020E610000098BD6C3B6D7F52C0D11F9A79725D4440,40.730056,-73.991042,ASTOR PLACE,Manhattan,6,IRT,R219,R160,"$177,674",4761.914084,1159594.724
0101000020E610000098BD6C3B6D7F52C0D11F9A79725D4440,40.730056,-73.991042,ASTOR PLACE,Manhattan,6,IRT,R220,R160,"$177,674",4761.914084,1159594.724
0101000020E6100000944E24986A7F52C08202EFE4D3574440,40.686154,-73.990881,BERGEN ST,Brooklyn,FG,IND,N532,R129,"$30,089",5563.971321,1927677.572
0101000020E6100000944E24986A7F52C08202EFE4D3574440,40.686154,-73.990881,BERGEN ST,Brooklyn,FG,IND,N531,R129,"$30,089",5563.971321,1927677.572
0101000020E6100000944E24986A7F52C08202EFE4D3574440,40.686154,-73.990881,BERGEN ST,Brooklyn,FG,IND,N533,R129,"$30,089",5563.971321,1927677.572
0101000020E61000008A22A46E677F52C034F6251B0F5E4440,40.734836,-73.990688,14 ST-UNION SQ,Manhattan,LNQR456,BMT,A035,R170,"$20,833",5790.388176,1815428.909
0101000020E61000008A22A46E677F52C034F6251B0F5E4440,40.734836,-73.990688,14 ST-UNION SQ,Manhattan,456LNQR,BMT,A033,R170,"$20,833",5790.388176,1815428.909
0101000020E61000008A22A46E677F52C034F6251B0F5E4440,40.734836,-73.990688,14 ST-UNION SQ,Manhattan,LNQR456,BMT,A034,R170,"$20,833",5790.388176,1815428.909
0101000020E61000008A22A46E677F52C034F6251B0F5E4440,40.734836,-73.990688,14 ST-UNION SQ,Manhattan,LNQR456,BMT,A036,R170,"$20,833",5790.388176,1815428.909
0101000020E61000008A22A46E677F52C034F6251B0F5E4440,40.734836,-73.990688,14 ST-UNION SQ,Manhattan,LNRQ456,BMT,A037,R170,"$20,833",5790.388176,1815428.909
