station_name,train_lines,income,long,lat,entry_dif,exit_dif
BEACH 90 ST,AS,43520,-73.813684,40.588032,584,439
BEACH 98 ST,AS,64688,-73.820143,40.585514,446,317
BEDFORD AVE,L,100395,-73.956614,40.717241,23084,14171
BERGEN ST,FG,30089,-73.990881,40.686154,30621,20580
BEVERLEY ROAD,BQ,113696,-73.96451,40.643982,2925,2643
BLEECKER ST,6DF,145694,-73.995645,40.725665,12984,5571
BOTANIC GARDEN,S2345,52191,-73.958759,40.670499,1323,1516
BOWERY,JZ,0,-73.994014,40.720315,3095,2769
BOWLING GREEN,45,108250,-74.014099,40.704782,41613,16356
BRIGHTON BEACH,BQ,37155,-73.961806,40.577961,17536,8942
BROAD CHANNEL,AS,85147,-73.816068,40.608693,253,22
BROAD ST,JZ,157992,-74.011052,40.706539,21906,7947
BROADWAY,G,55170,-73.950348,40.7061,3693,2399
BROOKLYN BRIDGE,456JZ,27247,-74.003917,40.713159,4863,4561
BUSHWICK AVE,L,59500,-73.905501,40.682558,1780,1111
CANAL ST,ACE,18511,-74.005237,40.720852,38010,31444
CARROLL ST,FG,39934,-73.99498,40.680231,23600,10182
CENTRAL AVE,M,37461,-73.927131,40.697673,4277,3050
CHAMBERS ST,ACE23,214732,-74.008563,40.71433,56356,36434
CHAMBERS ST,JZ456,27247,-74.003917,40.713159,10406,11388
CHAUNCEY ST,JZ,37807,-73.91048,40.682867,2419,941
CHRISTOPHER ST,1,20595,-74.002898,40.733405,9530,10630
CHURCH AVE,BQ,55272,-73.962836,40.650494,26326,25980
CHURCH AVE,FG,74879,-73.979541,40.644039,17096,9960
CLASSON AVE,G,28365,-73.960025,40.688855,5266,4906
CLEVELAND ST,J,61071,-73.884687,40.679938,2297,2121
COURT SQ,EMG,42075,-73.945112,40.747257,16536,18372
COURT SQ-23 ST,EMG,42075,-73.945112,40.747257,5823,2218
CRESCENT ST,JZ,41670,-73.873765,40.683209,3309,3157
CYPRESS HILLS,J,0,-73.872564,40.689945,1280,707
DEKALB AVE,BDNQR,105042,-73.981848,40.690612,18759,7745
DEKALB AVE,L,47356,-73.91844,40.703839,6507,2002
DITMAS AVE,F,48750,-73.978179,40.63615,6998,3052
